stake_id,FE,FE_new,comment,date,who,abl_oct,id,timestamp,abl_since_last,abl_since_oct
1,148.0,148.0,,2019-08-06 00:00:00.000000,,201.0,0,,148.0,201.0
2,263.0,-5.0,"Neu gebohrt, 8m, FE neu -5.",2019-08-06 00:00:00.000000,,133.0,1,,133.0,133.0
3,200.0,200.0,P drin: 200,2019-08-06 00:00:00.000000,,38.0,2,,38.0,38.0
5,155.0,155.0,"Stange abgeknickt. Nächste Stange rot, P drin 245",2019-08-06 00:00:00.000000,,93.0,3,,93.0,93.0
6,395.0,195.0,Stange abgeknickt.  Annahme: Stange verloren (200 dazu),2019-08-06 00:00:00.000000,lea,108.0,4,,108.0,108.0
7,330.0,130.0,Annahme: Stange verloren. 200 dazu.,2019-08-06 00:00:00.000000,lea,155.0,5,,155.0,155.0
8,166.0,166.0,Stange abgebrochen,2019-08-06 00:00:00.000000,,114.0,6,,114.0,114.0
9,220.0,20.0,200 ab,2019-08-06 00:00:00.000000,,,7,,,
11,310.0,-5.0,"Neu gebohrt, 8m, FE neu -5.",2019-08-06 00:00:00.000000,,35.0,8,,35.0,35.0
12,110.0,17.0,Abgebrochenes Stück entfernt,2019-08-06 00:00:00.000000,,36.0,9,,36.0,36.0
13,275.0,18.0,"200 ab, abgebrochenes Stück auch entfernt",2019-08-06 00:00:00.000000,,238.0,10,,238.0,238.0
15unten,179.0,,"FE Herbst: 390. Stange verloren, ungenaue Messung?",2019-08-06 00:00:00.000000,,,11,,,
15oben,470.0,0.0,"Annahme: 2 Stangen verloren. 30cm Schnee. neu gebohrt, 8m, FE neu 0.",2019-08-06 00:00:00.000000,lea,,12,,79.0,79.0
17,561.0,161.0,Annahme: 2 Stangen verloren. +400,2019-08-06 00:00:00.000000,lea,88.0,13,,88.0,88.0
19,179.0,,Stange abgeknickt. ,2019-08-06 00:00:00.000000,,104.0,14,,104.0,104.0
20,635.0,0.0,"Annahme 3 Stangen verloren. +600. Neu gebohrt 8m, FE neu 0.",2019-08-06 00:00:00.000000,lea,40.0,15,,40.0,40.0
21,260.0,60.0,Abl: 0. Annahme: Stange verloren. 200 dazu.,2019-08-06 00:00:00.000000,lea,0.0,16,,0.0,0.0
23,354.0,154.0,"Annahme: Stange verloren. +200. Außerdem auf Wert von letzter Ablesung gesetzt, Messungenauigkeit wg Schnee.Im Schnee. 50Cm Schnee, FE 85 ü Eis",2019-08-06 00:00:00.000000,lea,0.0,17,,0.0,0.0
27,446.0,46.0,"Annahme: 2 Stangen verloren, +400.",2019-08-06 00:00:00.000000,lea,6.0,18,,6.0,6.0
1,200.0,200.0,,2019-08-12 00:00:00.000000,,,19,,52.0,253.0
3,230.0,-16.0,"Alter Pegel 200 ab. Neu gebohrt, 8m, FE neu -16.",2019-08-12 00:00:00.000000,,,20,,30.0,68.0
5,200.0,0.0,"Neu gebohrt, 8m, FE neu 0.",2019-08-12 00:00:00.000000,,,21,,45.0,138.0
11,31.0,31.0,Alte Stange: 148,2019-08-12 00:00:00.000000,,,22,,36.0,71.0
12,77.0,0.0,"Neu gebohrt, 8m, FE neu 0.",2019-08-12 00:00:00.000000,,,23,,60.0,96.0
13,63.0,63.0,abgebrochene Stange. Alte Stange: FE 11.,2019-08-12 00:00:00.000000,,,24,,45.0,283.0
16,279.0,2.0,"Annahme: Stange verloren, +200.Neu gebohrt, 8m, FE neu 2. Annahme: Stange verloren, +200 Ablation.",2019-08-12 00:00:00.000000,lea,78.0,25,,78.0,78.0
17,208.0,-18.0,"Neu gebohrt, 8m, FE neu -18.",2019-08-12 00:00:00.000000,,,26,,47.0,135.0
18,83.0,0.0,"Neu gebohrt, 8m, FE neu 0.",2019-08-12 00:00:00.000000,,43.0,27,,43.0,43.0
20,26.0,26.0,Alte Stange FE 77.,2019-08-12 00:00:00.000000,,,28,,26.0,66.0
21,90.0,90.0,,2019-08-12 00:00:00.000000,,,29,,30.0,30.0
23,170.0,7.0,"163 ab, Stange gebrochen.",2019-08-12 00:00:00.000000,,,30,,16.0,16.0
1,332.0,332.0,12cm Schnee,2019-09-12 00:00:00.000000,,132.0,31,,132.0,385.0
2,169.0,169.0,20cm Schnee,2019-09-12 00:00:00.000000,,,32,,174.0,307.0
3,81.0,81.0,22cm Schnee,2019-09-12 00:00:00.000000,,97.0,33,,97.0,165.0
4,86.0,86.0,31cm Schnee,2019-09-12 00:00:00.000000,,93.0,34,,,
5,125.0,125.0,22cm Schnee,2019-09-12 00:00:00.000000,,125.0,35,,125.0,263.0
6,360.0,10.0,15cm Schnee,2019-09-12 00:00:00.000000,,,36,,165.0,273.0
7,285.0,85.0,18cm schnee (Annahme: Stange verloren?),2019-09-12 00:00:00.000000,lea,,37,,155.0,310.0
8,340.0,0.0,20cm Schnee,2019-09-12 00:00:00.000000,,,38,,174.0,288.0
9,180.0,180.0,17cm Schnee,2019-09-12 00:00:00.000000,,,39,,160.0,160.0
